Site,Date,N1 GC/100mL,N1 GC/mL,Flow Rate (MGD),Flow (Gal/Day),Flow (mL/Day),Total N1
CS,220912,9386.67,93.87,0.43,433000,1.64E+09,1.54E+11
CS,220922,16800.00,168.00,0.43,432000,1.64E+09,2.75E+11
CS,220929,10573.33,105.73,0.43,429000,1.62E+09,1.72E+11
CS,221006,17333.33,173.33,0.32,324000,1.23E+09,2.13E+11
CS,221114,18442.67,184.43,0.45,446000,1.69E+09,3.11E+11
CS,221117,8613.33,86.13,0.47,468000,1.77E+09,1.53E+11
CS,221205,18666.67,186.67,0.48,476000,1.80E+09,3.36E+11
CS,221208,6528.00,65.28,0.57,570000,2.16E+09,1.41E+11
CS,221212,16720.00,167.20,0.43,426000,1.61E+09,2.70E+11
CS,221215,8384.00,83.84,0.40,398000,1.51E+09,1.26E+11
CS,230209,3853.33,38.53,0.53,528000,2.00E+09,7.70E+10
CS,230216,10453.33,104.53,0.80,798000,3.02E+09,3.16E+11
CS,230914,15398.40,153.98,0.46,459000,1.74E+09,2.68E+11
CS,230928,9781.33,97.81,0.38,380000,1.44E+09,1.41E+11
CS,231030,17493.33,174.93,0.52,522000,1.98E+09,3.46E+11
CS,231108,10826.67,108.27,0.48,478000,1.81E+09,1.96E+11
CS,231113,37680.00,376.80,0.50,497000,1.88E+09,7.09E+11
CS,231115,9600.00,96.00,0.49,487000,1.84E+09,1.77E+11
CS,231120,7776.00,77.76,0.45,449000,1.70E+09,1.32E+11
CS,231127,7224.00,72.24,0.49,485000,1.84E+09,1.33E+11
CS,231129,9386.67,93.87,0.46,463000,1.75E+09,1.65E+11
CS,231204,11520.00,115.20,0.48,479000,1.81E+09,2.09E+11
CS,231211,5250.67,52.51,0.48,481000,1.82E+09,9.56E+10
CS,231213,6170.67,61.71,0.45,454000,1.72E+09,1.06E+11
GG,220908,9333.33,93.33,1.89,1894000,7.17E+09,6.69E+11
GG,220912,110666.67,1106.67,1.89,1888500,7.15E+09,7.91E+12
GG,220919,8096.00,80.96,1.91,1908000,7.22E+09,5.85E+11
GG,221006,18666.67,186.67,1.81,1812700,6.86E+09,1.28E+12
GG,221020,11200.00,112.00,1.76,1758800,6.66E+09,7.46E+11
GG,221024,13920.00,139.20,1.69,1692800,6.41E+09,8.92E+11
GG,221027,13301.33,133.01,1.73,1725500,6.53E+09,8.69E+11
GG,221107,7706.67,77.07,1.81,1810300,6.85E+09,5.28E+11
GG,221117,7872.00,78.72,1.70,1702900,6.45E+09,5.07E+11
GG,221128,16800.00,168.00,1.73,1732200,6.56E+09,1.10E+12
GG,221205,13200.00,132.00,1.78,1777500,6.73E+09,8.88E+11
GG,221208,18773.33,187.73,1.65,1650800,6.25E+09,1.17E+12
GG,221212,25520.00,255.20,1.76,1759400,6.66E+09,1.70E+12
GG,221215,29568.00,295.68,1.63,1632000,6.18E+09,1.83E+12
GG,221219,47146.67,471.47,1.71,1710100,6.47E+09,3.05E+12
GG,221228,4229.33,42.29,1.70,1699000,6.43E+09,2.72E+11
GG,230105,10400.00,104.00,1.83,1829700,6.93E+09,7.20E+11
GG,230123,18432.00,184.32,1.70,1704100,6.45E+09,1.19E+12
GG,230213,25317.33,253.17,2.17,2169400,8.21E+09,2.08E+12
GG,230327,12096.00,120.96,2.64,2640200,9.99E+09,1.21E+12
GG,230706,9173.33,91.73,2.14,2143200,8.11E+09,7.44E+11
GG,230810,5249.07,52.49,1.99,1993700,7.55E+09,3.96E+11
GG,230817,20826.67,208.27,2.01,2007100,7.60E+09,1.58E+12
GG,230831,10084.27,100.84,1.99,1987800,7.52E+09,7.59E+11
GG,230921,5784.00,57.84,2.09,2092200,7.92E+09,4.58E+11
GG,231002,5504.00,55.04,2.09,2091700,7.92E+09,4.36E+11
GG,231016,5141.33,51.41,1.70,1704400,6.45E+09,3.32E+11
GG,231019,5962.67,59.63,1.63,1626700,6.16E+09,3.67E+11
GG,231023,7242.67,72.43,1.52,1518000,5.75E+09,4.16E+11
GG,231109,12320.00,123.20,1.36,1363700,5.16E+09,6.36E+11
GG,231113,9429.33,94.29,1.40,1400900,5.30E+09,5.00E+11
GG,231116,13333.00,133.33,1.25,1250800,4.73E+09,6.31E+11
GG,231120,122240.00,1222.40,1.25,1254600,4.75E+09,5.81E+12
GG,231127,18400.00,184.00,1.35,1354900,5.13E+09,9.44E+11
GG,231130,21429.33,214.29,1.36,1363800,5.16E+09,1.11E+12
GG,231204,5706.67,57.07,1.38,1378500,5.22E+09,2.98E+11
GG,231207,9973.33,99.73,1.20,1201500,4.55E+09,4.54E+11
GG,231211,15040.00,150.40,1.39,1389500,5.26E+09,7.91E+11
GO,220908,10240.00,102.40,3.74,3738900,1.42E+10,1.45E+12
GO,220915,16128.00,161.28,3.73,3733200,1.41E+10,2.28E+12
GO,221006,25760.00,257.60,3.61,3610500,1.37E+10,3.52E+12
GO,221010,10976.00,109.76,3.76,3758000,1.42E+10,1.56E+12
GO,221013,8477.33,84.77,3.76,3758000,1.42E+10,1.21E+12
GO,221027,10528.00,105.28,3.82,3824500,1.45E+10,1.52E+12
GO,221107,4128.00,41.28,3.95,3947900,1.49E+10,6.17E+11
GO,221128,14080.00,140.80,3.87,3867800,1.46E+10,2.06E+12
GO,221201,9792.00,97.92,3.81,3814100,1.44E+10,1.41E+12
GO,221208,18576.00,185.76,3.70,3704700,1.40E+10,2.61E+12
GO,221212,13066.67,130.67,3.79,3791100,1.44E+10,1.88E+12
GO,221215,15493.33,154.93,3.91,3908800,1.48E+10,2.29E+12
GO,221219,3744.00,37.44,3.92,3921700,1.48E+10,5.56E+11
GO,221229,8698.67,86.99,4.10,4096000,1.55E+10,1.35E+12
GO,230105,1515.73,15.16,3.96,3960100,1.50E+10,2.27E+11
GO,230112,9733.33,97.33,3.87,3869400,1.46E+10,1.43E+12
GO,230119,20736.00,207.36,3.86,3860800,1.46E+10,3.03E+12
GO,230209,9280.00,92.80,4.36,4361700,1.65E+10,1.53E+12
GO,230220,7466.67,74.67,4.31,4309400,1.63E+10,1.22E+12
GO,230227,24800.00,248.00,4.74,4736700,1.79E+10,4.45E+12
GO,230306,6592.53,65.93,4.41,4410600,1.67E+10,1.10E+12
GO,230403,194880.00,1948.80,4.25,4248900,1.61E+10,3.13E+13
GO,230821,6365.33,63.65,4.08,4075900,1.54E+10,9.82E+11
GO,230824,7264.00,72.64,4.06,4056700,1.54E+10,1.12E+12
GO,230831,15840.00,158.40,3.78,3784100,1.43E+10,2.27E+12
GO,230907,11040.00,110.40,3.95,3948900,1.49E+10,1.65E+12
GO,230914,17706.67,177.07,3.83,3826700,1.45E+10,2.56E+12
GO,230925,5653.33,56.53,3.84,3837500,1.45E+10,8.21E+11
GO,230928,4229.33,42.29,3.74,3742400,1.42E+10,5.99E+11
GO,231002,8344.00,83.44,3.81,3810600,1.44E+10,1.20E+12
GO,231016,5232.00,52.32,3.95,3951900,1.50E+10,7.83E+11
GO,231019,7354.67,73.55,3.82,3819000,1.45E+10,1.06E+12
GO,231026,7040.00,70.40,4.00,4002200,1.51E+10,1.07E+12
GO,231030,8477.33,84.77,3.96,3959100,1.50E+10,1.27E+12
GO,231102,7552.00,75.52,3.93,3930200,1.49E+10,1.12E+12
GO,231109,8640.00,86.40,3.95,3945300,1.49E+10,1.29E+12
GO,231116,22400.00,224.00,3.72,3718600,1.41E+10,3.15E+12
GO,231120,4186.67,41.87,3.80,3798200,1.44E+10,6.02E+11
GO,231127,8904.00,89.04,3.86,3864200,1.46E+10,1.30E+12
GO,231130,26208.00,262.08,3.91,3905700,1.48E+10,3.87E+12
GO,231204,19200.00,192.00,3.96,3956100,1.50E+10,2.88E+12
GO,231207,21120.00,211.20,3.96,3961000,1.50E+10,3.17E+12
GO,231211,16853.33,168.53,3.92,3915000,1.48E+10,2.50E+12
GR,220908,9600.00,96.00,35.40,35400000,1.34E+11,1.29E+13
GR,220919,11136.00,111.36,33.30,33300000,1.26E+11,1.40E+13
GR,220926,7904.00,79.04,31.90,31900000,1.21E+11,9.54E+12
GR,220929,10449.07,104.49,29.60,29600000,1.12E+11,1.17E+13
GR,221013,9941.33,99.41,41.60,41600000,1.57E+11,1.57E+13
GR,221020,11370.67,113.71,37.40,37400000,1.42E+11,1.61E+13
GR,221027,8448.00,84.48,44.60,44600000,1.69E+11,1.43E+13
GR,221107,8608.00,86.08,32.70,32700000,1.24E+11,1.07E+13
GR,221117,3141.33,31.41,33.80,33800000,1.28E+11,4.02E+12
GR,221128,7401.60,74.02,37.20,37200000,1.41E+11,1.04E+13
GR,221205,12960.00,129.60,34.30,34300000,1.30E+11,1.68E+13
GR,221208,16720.00,167.20,34.90,34900000,1.32E+11,2.21E+13
GR,221212,18400.00,184.00,32.50,32500000,1.23E+11,2.26E+13
GR,221215,23834.67,238.35,34.00,34000000,1.29E+11,3.07E+13
GR,221219,10779.73,107.80,32.80,32800000,1.24E+11,1.34E+13
GR,221222,16000.00,160.00,34.90,34900000,1.32E+11,2.11E+13
GR,221225,19360.00,193.60,29.60,29600000,1.12E+11,2.17E+13
GR,221228,13040.00,130.40,40.90,40900000,1.55E+11,2.02E+13
